UNIVERSIDADE,SEXO,GRUPO INSCRIÇÃO,VAGA CLASSIFICAÇÃO,PONTUAÇÃO,ENTRADA,COLOCAÇÕES,CURSO,MODALIDADE,TURNO,CIDADE
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,560.93,2,14,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,600.53,2,8,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,I,494.85,2,1,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,626.38,2,7,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,A,654.92,2,2,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,635.91,2,4,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,571.54,2,11,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,E,522.28,2,2,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,A,559.17,2,15,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,542.45,2,18,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,J,499.05,2,1,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,5,A,638.98,2,3,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,A,540.47,2,19,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,5,C,528.40,2,1,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,A,594.79,2,9,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,580.01,2,10,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,I,523.56,2,2,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,A,563.55,2,13,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,631.07,2,6,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,I,518.87,2,3,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,5,A,565.75,2,12,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,752.62,2,1,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,5,A,539.84,2,20,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,G,504.64,2,1,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,551.23,2,17,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,A,632.83,2,5,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,E,526.09,2,1,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,555.72,2,16,AGROECOLOGIA,TECNOLOGO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,682.77,1,14,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,7,H,649.31,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,1,A,745.56,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,I,603.55,1,5,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,726.62,1,4,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,I,634.24,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,688.58,1,12,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,5,E,640.27,1,5,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,684.35,1,13,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,G,658.20,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,A,671.62,1,18,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,I,624.49,1,3,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,J,581.50,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,9,I,624.91,1,2,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,A,670.32,1,19,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,3,C,669.39,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,9,I,587.47,1,7,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,738.80,1,2,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,690.43,1,10,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,D,667.50,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,8,A,669.42,1,20,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,708.11,1,7,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,3,A,674.96,1,17,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,5,E,667.50,1,1,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,688.93,1,11,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,7,A,710.51,1,5,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,M,1,A,677.69,1,16,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
UNIVERSIDADE FEDERAL DO PARÁ,F,5,E,655.84,1,2,ENGENHARIA DE PRODUÇÃO,BACHARELADO,INTEGRAL,ABAETETUBA
